_id,user_name,retweet_count,tweet_followers_count,source,coordinates,tweet_mentioned_count,tweet_ID,tweet_text,user.CreatedAt,user.FavouritesCount,user.FollowersCount,user.FriendsCount,user.UserId,user.Location
ObjectId(578ffc547eb951401527b5da),ProfitwatchInfo,0,602,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,1,"7,55893533047915E+017","RT @DundalkFC: Full Time FH 2-2 Dundalk, Dundalk qualify to the next round of the UEFA Champions League!",2016-03-31T19:06:24.000Z,1456,602,2381,-552161280,Ireland
ObjectId(578ffda17eb951401527b738),KillarneyKnight,0,956,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,1,"7,55894929071702E+017","RT @DundalkFC: Full Time FH 2-2 Dundalk, Dundalk qualify to the next round of the UEFA Champions League!",2011-02-04T14:44:10.000Z,3015,956,2277,247307380,Ireland
ObjectId(57965ef5c38159118f94f8ae),leedsfc9,0,1380,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,2,"7,57648699917034E+017",@brooughy26 @AstonVillaMedia Birmingham I guess once won the League Cup and little Fulham UEFA Cup final + Ipswich Historically Bobby Robson,2014-05-27T16:54:33.000Z,14568,1380,802,-1727442750,Ireland
ObjectId(57966dc0c38159201ca7f637),Insight4News4,0,358,"<a href=""http://insight4news.ucd.ie"" rel=""nofollow"">insight4news4</a>",,0,"7,57664582127288E+017",Liverpool fined by UEFA for Europa League final crowd trouble #liverpool https://t.co/vuC4Xesdl9,2015-03-23T15:48:32.000Z,0,358,0,-1187124583,Ireland
